,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Arna-Bjørnar,22,22.0,,22,242,1980,22.0,37,,36,1,1,20,1,1.68,,,1.64,
1,Avaldsnes,23,25.5,,22,242,1980,22.0,49,,48,1,1,22,1,2.23,,,2.18,
2,Grand Bodø,22,22.7,,22,242,1980,22.0,30,,29,1,1,19,0,1.36,,,1.32,
3,Klepp,19,23.5,,22,242,1980,22.0,33,,31,2,2,13,2,1.5,,,1.41,
4,Kolbotn,21,21.9,,22,242,1980,22.0,16,,16,0,0,8,0,0.73,,,0.73,
5,LSK Kvinner,18,24.2,,22,242,1980,22.0,67,,65,2,2,11,0,3.05,,,2.95,
6,Medkila,26,20.9,,22,242,1980,22.0,9,,9,0,0,13,2,0.41,,,0.41,
7,Røa,22,22.8,,22,242,1980,22.0,42,,42,0,0,22,1,1.91,,,1.91,
8,Sandviken,22,24.4,,22,242,1980,22.0,23,,23,0,0,10,0,1.05,,,1.05,
9,Stabæk,20,25.5,,22,242,1980,22.0,44,,44,0,0,4,0,2.0,,,2.0,
10,Trondheims-Ørn,22,22.1,,22,242,1980,22.0,36,,36,0,0,9,0,1.64,,,1.64,
11,Vålerenga,23,25.8,,22,242,1980,22.0,38,,38,0,0,16,2,1.73,,,1.73,
